year,state,amount
2007,NSW,37982 
2007,VIC,26967 
2007,QLD,25808 
2007,SA,8095 
2007,WA,12290 
2007,TAS,2791 
2007,NT,779 
2007,ACT,1610 
2008,NSW,39137 
2008,VIC,27089 
2008,QLD,26803 
2008,SA,8046 
2008,WA,12367 
2008,TAS,2685 
2008,NT,955 
2008,ACT,1674 
2009,NSW,40516 
2009,VIC,27750 
2009,QLD,26342 
2009,SA,8208 
2009,WA,12184 
2009,TAS,2637 
2009,NT,919 
2009,ACT,1562 
2010,NSW,40371 
2010,VIC,28142 
2010,QLD,26530 
2010,SA,8323 
2010,WA,12684 
2010,TAS,2577 
2010,NT,954 
2010,ACT,1595 
2011,NSW,41720 
2011,VIC,28944 
2011,QLD,25560 
2011,SA,8115 
2011,WA,12665 
2011,TAS,2329 
2011,NT,908 
2011,ACT,1511 
2012,NSW,40981 
2012,VIC,29901 
2012,QLD,26276 
2012,SA,7697 
2012,WA,12968 
2012,TAS,2913 
2012,NT,906 
2012,ACT,1602 
2013,NSW,40373 
2013,VIC,27584 
2013,QLD,25015 
2013,SA,8353 
2013,WA,12886 
2013,TAS,2400 
2013,NT,891 
2013,ACT,1460 
2014,NSW,41277 
2014,VIC,28872 
2014,QLD,24918 
2014,SA,7973 
2014,WA,13287 
2014,TAS,2526 
2014,NT,820 
2014,ACT,1523 
2015,NSW,40008 
2015,VIC,25620 
2015,QLD,23504 
2015,SA,7122 
2015,WA,12766 
2015,TAS,2356 
2015,NT,827 
2015,ACT,1385 
2016,NSW,39262 
2016,VIC,31119 
2016,QLD,22878 
2016,SA,8347 
2016,WA,12317 
2016,TAS,2508 
2016,NT,789 
2016,ACT,1175 
2017,NSW,36832 
2017,VIC,30129 
2017,QLD,22341 
2017,SA,7265 
2017,WA,11707 
2017,TAS,2240 
2017,NT,769 
2017,ACT,1674 
